,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
0,272877,334,22,28,45,89.0,72,person,3528533,2022-06-18 09:00:10.006,A1,603,57,25,32,96.0,50,person,3528549,2022-06-18 09:00:12.360,other,2.354,A1_to_other,334,22,28,45,89.0,72,person,3528533,2022-06-18 09:00:10.006,A1,603,57,25,32,96.0,50,person,3528549,2022-06-18 09:00:12.360,other,2.354,A1_to_other,2.354,A1_to_other,09
7,272890,103,117,17,28,,37,person,3528624,2022-06-18 09:00:23.317,A1,672,399,48,45,123.0,67,person,3528661,2022-06-18 09:00:28.706,A2,5.389,A1_to_A2,103,117,17,28,,37,person,3528624,2022-06-18 09:00:23.317,A1,672,399,48,45,123.0,67,person,3528661,2022-06-18 09:00:28.706,A2,5.389,A1_to_A2,5.389,A1_to_A2,09
47,272939,434,16,15,38,,28,person,3530689,2022-06-18 09:05:24.987,A2,435,17,17,38,151.0,39,person,3530695,2022-06-18 09:05:25.872,A2,0.885,A2_to_A2,570,10,11,23,,44,person,3530745,2022-06-18 09:05:33.210,A4,570,10,11,23,,44,person,3530748,2022-06-18 09:05:33.654,A4,0.444,A4_to_A4,8.667,A2_to_A4,09
64,272962,575,20,12,39,,35,person,3531062,2022-06-18 09:06:19.680,A4,575,20,12,39,,35,person,3531065,2022-06-18 09:06:20.117,A4,0.437,A4_to_A4,562,20,16,39,,38,person,3531066,2022-06-18 09:06:20.262,A4,270,417,65,64,241.0,80,person,3531170,2022-06-18 09:06:35.508,A3,15.246,A4_to_A3,15.828000000000001,A4_to_A3,09
65,272964,575,24,11,35,,67,person,3531069,2022-06-18 09:06:20.704,A4,584,38,12,31,142.0,29,person,3531080,2022-06-18 09:06:22.317,A4,1.6130000000000002,A4_to_A4,572,61,14,43,,43,person,3531093,2022-06-18 09:06:24.225,A2,416,277,47,54,220.0,65,person,3531153,2022-06-18 09:06:33.017,A2,8.792,A2_to_A2,12.313,A4_to_A2,09
68,272969,384,275,39,82,,65,person,3531152,2022-06-18 09:06:32.872,A2,319,356,58,67,218.0,45,person,3531162,2022-06-18 09:06:34.332,A3,1.4600000000000002,A2_to_A3,384,275,39,82,,65,person,3531152,2022-06-18 09:06:32.872,A2,319,356,58,67,218.0,45,person,3531162,2022-06-18 09:06:34.332,A3,1.4600000000000002,A2_to_A3,1.4600000000000002,A2_to_A3,09
72,272973,120,241,48,47,,29,person,3531229,2022-06-18 09:06:44.155,A3,112,143,22,31,296.0,32,person,3531269,2022-06-18 09:06:50.024,A1,5.869000000000001,A3_to_A1,94,121,24,29,,35,person,3531293,2022-06-18 09:06:53.541,A1,94,121,24,29,,35,person,3531296,2022-06-18 09:06:53.978,A1,0.437,A1_to_A1,9.823,A3_to_A1,09
74,272975,103,307,49,42,,27,person,3531238,2022-06-18 09:06:45.476,A3,113,120,26,31,285.0,33,person,3531373,2022-06-18 09:07:05.284,A1,19.808,A3_to_A1,108,117,27,31,,51,person,3531376,2022-06-18 09:07:05.729,A1,100,107,19,25,292.0,33,person,3531399,2022-06-18 09:07:09.094,A1,3.365,A1_to_A1,23.618000000000002,A3_to_A1,09
79,272983,119,176,41,43,,27,person,3531324,2022-06-18 09:06:58.090,other,107,161,28,23,319.0,27,person,3531328,2022-06-18 09:06:58.678,A1,0.5880000000000001,other_to_A1,118,170,34,36,,33,person,3531330,2022-06-18 09:06:58.971,A1,111,159,28,24,328.0,30,person,3531338,2022-06-18 09:07:00.144,A1,1.173,A1_to_A1,2.0540000000000003,other_to_A1,09
83,272989,448,292,47,44,,58,person,3531395,2022-06-18 09:07:08.508,A2,118,117,26,30,303.0,38,person,3531464,2022-06-18 09:07:18.658,A1,10.15,A2_to_A1,448,292,47,44,,58,person,3531395,2022-06-18 09:07:08.508,A2,118,117,26,30,303.0,38,person,3531464,2022-06-18 09:07:18.658,A1,10.15,A2_to_A1,10.15,A2_to_A1,09
