,id,x_min_S,y_min_S,w_min_S,h_min_S,bearing_min_S,confidence_min_S,name_min_S,frameId_min_S,timestamp_min_S,first_Area_S,x_max_S,y_max_S,w_max_S,h_max_S,bearing_max_S,confidence_max_S,name_max_S,frameId_max_S,timestamp_max_S,last_Area_S,stayTime_S,Path_S,x_min_E,y_min_E,w_min_E,h_min_E,bearing_min_E,confidence_min_E,name_min_E,frameId_min_E,timestamp_min_E,first_Area_E,x_max_E,y_max_E,w_max_E,h_max_E,bearing_max_E,confidence_max_E,name_max_E,frameId_max_E,timestamp_max_E,last_Area_E,stayTime_E,Path_E,stayTime,Path,o'clock
32,502007,229,143,48,57,,28,person,4768137,2022-10-11 00:06:51.604,A1,357,186,46,82,114.0,50,person,4768152,2022-10-11 00:06:53.811,A2,2.2070000000000003,A1_to_A2,229,143,48,57,,28,person,4768137,2022-10-11 00:06:51.604,A1,357,186,46,82,114.0,50,person,4768152,2022-10-11 00:06:53.811,A2,2.2070000000000003,A1_to_A2,2.2070000000000003,A1_to_A2,00
91,502523,244,281,27,23,,27,person,4775198,2022-10-11 00:24:05.553,other,244,283,28,25,179.0,46,person,4775202,2022-10-11 00:24:06.130,A3,0.5770000000000001,other_to_A3,244,281,27,23,,27,person,4775198,2022-10-11 00:24:05.553,other,244,283,28,25,179.0,46,person,4775202,2022-10-11 00:24:06.130,A3,0.5770000000000001,other_to_A3,0.5770000000000001,other_to_A3,00
103,502541,366,17,22,36,,37,person,4775409,2022-10-11 00:24:36.379,other,297,10,67,25,275.0,44,person,4775421,2022-10-11 00:24:38.144,A1,1.7650000000000001,other_to_A1,308,31,53,63,,28,person,4775427,2022-10-11 00:24:39.020,A1,223,130,44,59,241.0,50,person,4775450,2022-10-11 00:24:42.392,A1,3.3720000000000003,A1_to_A1,6.013000000000001,other_to_A1,00
143,502953,129,56,26,30,,31,person,4781135,2022-10-11 00:38:32.574,A1,129,56,26,30,,31,person,4781138,2022-10-11 00:38:33.015,A1,0.441,A1_to_A1,139,47,46,39,,64,car,4781147,2022-10-11 00:38:34.338,A1,611,107,199,129,102.0,32,car,4781167,2022-10-11 00:38:37.263,A2,2.9250000000000003,A1_to_A2,4.689,A1_to_A2,00
144,502955,521,21,27,44,,31,person,4781139,2022-10-11 00:38:33.161,A2,520,22,32,44,258.0,30,person,4781150,2022-10-11 00:38:34.781,A2,1.62,A2_to_A2,533,20,14,44,,27,person,4781159,2022-10-11 00:38:36.094,other,533,20,14,44,,27,person,4781162,2022-10-11 00:38:36.533,other,0.439,other_to_other,3.3720000000000003,A2_to_other,00
207,503561,254,57,24,28,,43,person,4788848,2022-10-11 00:57:18.951,A1,157,174,29,35,218.0,34,person,4788865,2022-10-11 00:57:21.468,A1,2.5170000000000003,A1_to_A1,152,176,37,45,,44,person,4788867,2022-10-11 00:57:21.755,A1,139,194,40,43,216.0,31,person,4788873,2022-10-11 00:57:22.632,other,0.877,A1_to_other,3.681,A1_to_other,00
221,503678,130,56,25,29,,27,person,4790165,2022-10-11 01:00:31.297,A1,130,56,25,29,,27,person,4790168,2022-10-11 01:00:31.736,A1,0.439,A1_to_A1,132,47,35,35,,30,car,4790180,2022-10-11 01:00:33.483,A1,444,42,120,37,90.0,28,car,4790197,2022-10-11 01:00:35.979,A2,2.496,A1_to_A2,4.682,A1_to_A2,01
225,503691,323,160,54,65,,57,person,4790291,2022-10-11 01:00:49.734,A2,207,133,45,59,285.0,49,person,4790308,2022-10-11 01:00:52.225,A1,2.491,A2_to_A1,323,160,54,65,,57,person,4790291,2022-10-11 01:00:49.734,A2,207,133,45,59,285.0,49,person,4790308,2022-10-11 01:00:52.225,A1,2.491,A2_to_A1,2.491,A2_to_A1,01
277,504664,177,133,46,49,,29,person,4803558,2022-10-11 01:33:09.723,A1,186,136,43,53,108.0,42,person,4803562,2022-10-11 01:33:10.305,A1,0.5820000000000001,A1_to_A1,201,140,50,50,,29,person,4803563,2022-10-11 01:33:10.454,A1,314,167,42,60,104.0,29,person,4803582,2022-10-11 01:33:13.232,A2,2.778,A1_to_A2,3.5090000000000003,A1_to_A2,01
278,504681,129,56,25,29,,25,person,4803711,2022-10-11 01:33:32.115,A1,129,56,25,29,,25,person,4803714,2022-10-11 01:33:32.553,A1,0.438,A1_to_A1,134,47,40,37,,35,car,4803735,2022-10-11 01:33:35.628,A1,411,27,166,60,87.0,51,car,4803752,2022-10-11 01:33:38.116,A2,2.488,A1_to_A2,6.001,A1_to_A2,01
394,506464,129,56,24,29,,34,person,4820884,2022-10-11 02:15:19.846,A1,129,56,25,30,146.0,29,person,4820891,2022-10-11 02:15:20.864,A1,1.018,A1_to_A1,130,47,34,40,,31,car,4820908,2022-10-11 02:15:23.362,A1,612,40,71,91,57.0,26,car,4820955,2022-10-11 02:15:30.268,A4,6.906000000000001,A1_to_A4,10.422,A1_to_A4,02
459,506830,129,56,25,28,,26,person,4823398,2022-10-11 02:21:26.460,A1,129,56,25,28,,26,person,4823401,2022-10-11 02:21:26.892,A1,0.43200000000000005,A1_to_A1,136,43,44,41,,47,car,4823423,2022-10-11 02:21:30.083,A1,406,30,145,58,91.0,43,car,4823440,2022-10-11 02:21:32.547,A2,2.464,A1_to_A2,6.087000000000001,A1_to_A2,02
481,506942,129,56,24,30,,28,person,4824288,2022-10-11 02:23:36.468,A1,129,56,24,30,295.0,27,person,4824293,2022-10-11 02:23:37.201,A1,0.7330000000000001,A1_to_A1,136,46,47,38,,56,car,4824326,2022-10-11 02:23:42.030,A1,430,26,163,58,87.0,70,car,4824340,2022-10-11 02:23:44.075,A2,2.045,A1_to_A2,7.607,A1_to_A2,02
482,506947,522,22,27,43,,29,person,4824323,2022-10-11 02:23:41.588,A2,523,22,22,45,97.0,30,person,4824328,2022-10-11 02:23:42.330,A2,0.742,A2_to_A2,534,22,19,44,,27,person,4824335,2022-10-11 02:23:43.343,other,534,22,19,44,,27,person,4824338,2022-10-11 02:23:43.783,other,0.44,other_to_other,2.1950000000000003,A2_to_other,02
701,509453,305,172,47,70,,49,person,4847033,2022-10-11 03:19:00.413,A2,192,131,40,51,293.0,37,person,4847054,2022-10-11 03:19:03.493,A1,3.08,A2_to_A1,132,115,32,36,,46,person,4847075,2022-10-11 03:19:06.563,A1,132,115,32,36,,46,person,4847078,2022-10-11 03:19:07.001,A1,0.438,A1_to_A1,6.588,A2_to_A1,03
873,512744,311,180,52,65,,52,person,4879764,2022-10-11 04:38:50.013,A2,211,145,48,58,289.0,32,person,4879781,2022-10-11 04:38:52.509,A1,2.496,A2_to_A1,311,180,52,65,,52,person,4879764,2022-10-11 04:38:50.013,A2,211,145,48,58,289.0,32,person,4879781,2022-10-11 04:38:52.509,A1,2.496,A2_to_A1,2.496,A2_to_A1,04
